,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
414,29,9,36,30,9,0.3,100,43,0.43,6,6,1.0,2016-01-15,0021500599,ATL @ MIL,265,7,25,-7,101,43,22015,5,ATL,1610612737,Atlanta Hawks,18,1,L
433,27,7,28,41,14,0.341,99,43,0.434,25,21,0.84,2015-12-29,0021500470,ATL @ HOU,240,17,24,6,121,45,22015,10,ATL,1610612737,Atlanta Hawks,12,1,W
439,25,4,32,20,6,0.3,89,43,0.483,20,15,0.75,2015-12-23,0021500429,ATL vs. DET,240,10,25,7,107,42,22015,8,ATL,1610612737,Atlanta Hawks,15,1,W
470,37,4,29,33,13,0.394,92,43,0.467,15,15,1.0,2015-11-07,0021500086,ATL vs. WAS,240,10,15,15,114,39,22015,12,ATL,1610612737,Atlanta Hawks,14,1,W
537,29,6,45,35,14,0.4,80,42,0.525,19,14,0.737,2016-02-01,0021500723,ATL vs. DAL,240,5,25,15,112,50,22015,2,ATL,1610612737,Atlanta Hawks,15,1,W
596,26,7,36,26,10,0.385,86,42,0.488,16,12,0.75,2015-11-11,0021500117,ATL vs. NOP,240,8,16,8,106,44,22015,10,ATL,1610612737,Atlanta Hawks,13,1,W
606,26,4,32,24,10,0.417,83,42,0.506,26,18,0.692,2015-10-29,0021500019,ATL @ NYK,240,7,18,11,112,39,22015,11,ATL,1610612737,Atlanta Hawks,16,1,W
642,26,6,28,32,5,0.156,97,41,0.423,17,14,0.824,2016-03-25,0021501076,ATL vs. MIL,240,17,21,11,101,45,22015,10,ATL,1610612737,Atlanta Hawks,11,1,W
683,27,4,34,36,16,0.444,87,41,0.471,13,13,1.0,2016-02-19,0021500808,ATL vs. MIA,240,8,23,-4,111,42,22015,7,ATL,1610612737,Atlanta Hawks,21,1,L
699,31,6,43,19,9,0.474,80,41,0.513,10,7,0.7,2016-01-18,0021500620,ATL vs. ORL,240,4,20,17,98,47,22015,9,ATL,1610612737,Atlanta Hawks,17,1,W
728,23,4,33,20,4,0.2,88,41,0.466,29,23,0.793,2015-12-18,0021500389,ATL @ BOS,240,9,28,8,109,42,22015,11,ATL,1610612737,Atlanta Hawks,13,1,W
762,30,6,35,21,9,0.429,77,41,0.532,35,30,0.857,2015-11-06,0021500081,ATL @ NOP,240,6,21,6,121,41,22015,10,ATL,1610612737,Atlanta Hawks,15,1,W
804,32,8,33,26,12,0.462,80,40,0.5,28,24,0.857,2016-03-17,0021501015,ATL vs. DEN,240,7,16,18,116,40,22015,5,ATL,1610612737,Atlanta Hawks,12,1,W
815,27,6,41,30,15,0.5,85,40,0.471,10,9,0.9,2016-03-13,0021500984,ATL vs. IND,240,9,13,29,104,50,22015,11,ATL,1610612737,Atlanta Hawks,17,1,W
824,26,3,43,27,10,0.37,89,40,0.449,20,17,0.85,2016-03-05,0021500929,ATL @ LAC,240,10,26,10,107,53,22015,9,ATL,1610612737,Atlanta Hawks,18,1,W
961,23,6,32,30,8,0.267,87,39,0.448,15,8,0.533,2016-04-11,0021501203,ATL @ CLE,240,10,18,-15,94,42,22015,8,ATL,1610612737,Atlanta Hawks,15,1,L
971,26,3,37,34,11,0.324,95,39,0.411,19,14,0.737,2016-04-05,0021501157,ATL vs. PHX,240,13,21,13,103,50,22015,16,ATL,1610612737,Atlanta Hawks,17,1,W
998,25,3,38,34,12,0.353,89,39,0.438,34,28,0.824,2016-03-16,0021501007,ATL @ DET,240,8,26,4,118,46,22015,10,ATL,1610612737,Atlanta Hawks,12,1,W
