AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PLUS_MINUS,PTS,REB,STL,TOV,WL
-92.0,-89.0,-349.0,122.0,42.0,10.167000000000002,-314.0,-194.0,-22.583000000000006,-192.0,-155.0,-28.933999999999997,-150.0,-171.0,108.0,-501.0,-499.0,-73.0,-117.0,-1
37.0,-84.0,-95.0,338.0,129.0,26.841999999999988,323.0,63.0,-15.744999999999997,-64.0,-4.0,-0.4070000000000036,-183.0,-104.0,-864.0,251.0,-278.0,-13.0,31.0,-1
-8.0,-130.0,-423.0,121.0,59.0,18.866999999999997,-101.0,-67.0,-21.911,-217.0,-137.0,-33.906000000000006,-175.0,-185.0,-128.0,-212.0,-598.0,-8.0,-47.0,1
162.0,101.0,374.0,-235.0,-89.0,-9.589999999999993,74.0,134.0,10.408999999999995,138.0,51.0,-3.4580000000000055,93.0,136.0,-332.0,230.0,467.0,42.0,95.0,-1
142.0,13.0,237.0,222.0,87.0,15.364000000000004,550.0,249.0,13.591999999999995,96.0,79.0,22.750000000000007,10.0,131.0,69.0,664.0,247.0,79.0,114.0,1
-52.0,-5.0,-92.0,-40.0,-12.0,-11.5,-73.0,-40.0,-10.004000000000012,-44.0,-19.0,-2.367000000000001,-91.0,-35.0,-131.0,-111.0,-183.0,-40.0,-27.0,1
76.0,-51.0,-209.0,41.0,30.0,3.2509999999999906,210.0,130.0,2.2060000000000173,82.0,84.0,12.367000000000004,-65.0,43.0,-253.0,374.0,-274.0,24.0,13.0,1
23.0,-37.0,-43.0,338.0,129.0,26.841999999999988,379.0,133.0,-7.157000000000004,59.0,64.0,12.886000000000003,-126.0,-28.0,-580.0,459.0,-169.0,3.0,46.0,-1
-4.0,-13.0,-93.0,-32.0,-52.0,-12.496999999999996,254.0,41.0,-9.93,120.0,106.0,5.975999999999999,-26.0,-62.0,-610.0,136.0,-119.0,-98.0,16.0,-1
275.0,-80.0,-185.0,239.0,98.0,28.823,85.0,-54.0,-18.078999999999994,-130.0,-57.0,-6.125,-186.0,-45.0,-92.0,-67.0,-371.0,2.0,32.0,1
-126.0,63.0,15.0,-499.0,-185.0,-30.241999999999994,-433.0,-96.0,14.524000000000008,35.0,-12.0,-6.198999999999998,152.0,46.0,432.0,-389.0,167.0,-118.0,-29.0,-1
-62.0,-41.0,-236.0,37.0,12.0,4.071,-311.0,-170.0,-34.533000000000015,-58.0,-35.0,-16.165999999999997,-161.0,-122.0,-159.0,-363.0,-397.0,-22.0,-67.0,-1
25.0,-10.0,18.0,-2.0,0.0,0.0,-14.0,-3.0,0.05400000000000915,-92.0,-80.0,-16.424000000000007,22.0,-4.0,241.0,-86.0,40.0,5.0,2.0,1
272.0,88.0,234.0,-249.0,-103.0,-8.867999999999988,84.0,116.0,13.303999999999988,181.0,97.0,4.439999999999998,-18.0,149.0,-195.0,226.0,216.0,56.0,118.0,1
48.0,-8.0,142.0,16.0,0.0,0.0,619.0,275.0,-10.732999999999997,106.0,145.0,21.063999999999986,-43.0,-72.0,36.0,695.0,99.0,-4.0,15.0,1
-47.0,11.0,-116.0,-336.0,-129.0,-26.841999999999988,-640.0,-274.0,-10.902000000000008,-99.0,-87.0,-24.552,32.0,-12.0,416.0,-764.0,-84.0,-14.0,-65.0,-1
159.0,1.0,185.0,416.0,163.0,20.715999999999994,684.0,286.0,14.924999999999997,106.0,82.0,23.325000000000003,49.0,132.0,34.0,817.0,234.0,141.0,89.0,1
-12.0,6.0,139.0,210.0,86.0,6.356999999999989,-8.0,-10.0,2.031999999999986,-95.0,-89.0,-1.2509999999999906,40.0,-48.0,416.0,-23.0,179.0,116.0,-47.0,1
